2016-02-21T09:32:11.301+0800 I CONTROL  [main] ***** SERVER RESTARTED *****
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten] MongoDB starting : pid=16432 port=27017 dbpath=../data/db 64-bit host=Souler
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten] db version v3.2.1
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten] git version: a14d55980c2cdc565d4704a7e3ad37e4e535c1b2
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2d 9 Jul 2015
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten] allocator: tcmalloc
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten] modules: none
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten] build environment:
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten]     distmod: ubuntu1404
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten]     distarch: x86_64
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2016-02-21T09:32:11.311+0800 I CONTROL  [initandlisten] options: { net: { bindIp: "localhost" }, storage: { dbPath: "../data/db" }, systemLog: { destination: "file", logAppend: true, path: "../data/log/log.log" } }
2016-02-21T09:32:11.359+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=1G,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2016-02-21T09:32:12.009+0800 I CONTROL  [initandlisten] 
2016-02-21T09:32:12.009+0800 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
2016-02-21T09:32:12.009+0800 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2016-02-21T09:32:12.009+0800 I CONTROL  [initandlisten] 
2016-02-21T09:32:12.009+0800 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/defrag is 'always'.
2016-02-21T09:32:12.009+0800 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2016-02-21T09:32:12.009+0800 I CONTROL  [initandlisten] 
2016-02-21T09:32:12.009+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '../data/db/diagnostic.data'
2016-02-21T09:32:12.009+0800 I NETWORK  [HostnameCanonicalizationWorker] Starting hostname canonicalization worker
2016-02-21T09:32:12.039+0800 I NETWORK  [initandlisten] waiting for connections on port 27017
